id,question,n_options,mode,row,topic,polling_firm,date,keep,drop_reason,dk_shown,claim_cue,drop_category,correct,dk,incorrect,basis,confident_correct,confident_incorrect,total,opinion_wording,graded,format
152,"(Now I would like to ask you about some things that have been in the news recently. Not everyone will have heard of them.) Since the start of military action in Iraq, about how many US (United States) military personnel have been killed? To the best of your knowledge, have there been...around 2,000, around 3,000, around 4,000, or around 5,000 troop deaths?",4,telephone,107,Iraq Mil. Deaths,Opinion Research Corporation,04/04-07/08,TRUE,,FALSE,FALSE,,0.6,0.03,0.37,Roper topline,,,100,TRUE,FALSE,three or more
153,"(Now I would like to ask you about some things that have been in the news recently. Not everyone will have heard of them.)...Since the start of military action in Iraq, about how many US (United States) military personnel have been killed? To the best of your knowledge, have there been...around 2,000, around 3,000, around 4,000, or around 5,000?",4,telephone,108,Iraq Mil. Deaths,Opinion Research Corporation,02/28/08-03/02/08,TRUE,,FALSE,FALSE,,0.28,0.03,0.69,Roper topline,,,100,TRUE,FALSE,three or more
154,"(Now I would like to ask you about some things that have been happening in Iraq recently. Not everyone will have heard of them.)...Since the start of military action in Iraq, about how many US (United States) soldiers have been killed overall? To the best of your knowledge, have there been around 1,500, around 2,500, around 3,500, or around 4,500 military deaths in Iraq?",4,telephone,109,Iraq Mil. Deaths,Opinion Research Corporation,06/22-25/07,TRUE,,FALSE,FALSE,,0.49,0.1,0.41,Roper topline,,,100,TRUE,FALSE,three or more
14,"Do you happen to know what religion Barack Obama is? Is he Protestant, Catholic, Jewish, Mormon, Muslim, something else, or not religious?",7,telephone,111,Obama Religion,ORC International,09/04-08/15,TRUE,,FALSE,FALSE,,0.38613861386138615,0.13861386138613863,0.4752475247524752,Roper topline,,,101,FALSE,FALSE,three or more
91,"(Based on what you have learned, please tell me whether you believe each of the following is true or is not true.)... Iraq was connected to the September eleventh (2001) terrorist attacks (on the World Trade Center and the Pentagon)",2,telephone,112,Iraq 9/11,Peter D. Hart and Robert M. Teeter Research Companies,06/25-28/04,TRUE,,FALSE,FALSE,,0.49,0.11,0.4,Roper topline,,,100,TRUE,FALSE,binary
92,"As far as you know, does Iraq now have¡¦nuclear weapons, or not?",2,telephone,115,Iraq WMD,Princeton Survey Research Associates,01/03-06/03,TRUE,,FALSE,FALSE,,0.2376237623762376,0.3564356435643564,0.40594059405940597,Roper topline,,,101,TRUE,FALSE,binary
22,"As far as you know, what is Barack Obama's religion? Is he a Christian, a Muslim, or something else?",3,telephone,118,Obama Religion,Princeton Survey Research Associates International,08/25-26/10,TRUE,,FALSE,FALSE,,0.42,0.24,0.34,Roper topline,,,100,TRUE,FALSE,three or more
32,"As far as you know, what is (2008) Democratic presidential (election) candidate Barack Obama's religion? Is he a Christian, a Muslim, or something else?",3,telephone,119,Obama Religion,Princeton Survey Research Associates International,06/18-19/08,TRUE,,FALSE,FALSE,,0.61,0.19,0.2,Roper topline,,,100,TRUE,FALSE,three or more
34,"As far as you know, what is Barack Obama's religion? Is he a Christian, a Muslim, or something else?",3,telephone,120,Obama Religion,Princeton Survey Research Associates International,05/21-22/08,TRUE,,FALSE,FALSE,,0.58,0.22,0.2,Roper topline,,,100,TRUE,FALSE,three or more
36,"As far as you know, what is Barack Obama's religion? Is he a Christian, a Muslim, or something else?",3,telephone,121,Obama Religion,Princeton Survey Research Associates International,04/24-25/08,TRUE,,FALSE,FALSE,,0.52,0.26,0.22,Roper topline,,,100,TRUE,FALSE,three or more
201,"(As I read you some statements about Barack Obama, please tell me if each one is true or false, to the best of your knowledge.)...Obama is a practicing Muslim today....As far as you know is this true or false?",2,telephone,122,Obama Religion,Princeton Survey Research Associates International,07/09-10/08,TRUE,,FALSE,FALSE,,0.69,0.19,0.12,Roper topline,,,100,TRUE,FALSE,binary
116,"(Next I'd like to ask about some things that have been in the news. Please answer as best as you can. If you don't know the answer just tell me and we'll move to the next question.)...Do you happen to know if the national unemployment rate as reported by the government is currently closer to...5%, 10%, 15% or 20%?",5,telephone,124,Unemployment Rate,Princeton Survey Research Associates International,11/11-14/10,TRUE,,TRUE,FALSE,,0.53,0.17,0.3,Roper topline,,,100,FALSE,FALSE,three or more
16,"Now, thinking about Barack Obama's religious beliefs¡¦Do you happen to know what Barack Obama's religion is? Is he Christian, Jewish, Muslim, Buddhist, Hindu, atheist, agnostic, or something else?",8,telephone,125,Obama Religion,Princeton Survey Research Associates International,06/28/12-07/09/12,TRUE,,FALSE,FALSE,,0.4488778054862843,0.3690773067331671,0.18204488778054864,Roper topline,,,100.25,FALSE,FALSE,three or more
24,"Now, thinking about Barak Obama's religious beliefs¡¦Do you happen to know what Barack Obama's religion is?  Is he Christian, Jewish, Muslim, Buddhist, Hindu, athiest, agnostic, or something else?",8,telephone,126,Obama Religion,Princeton Survey Research Associates International,07/21/10-08/05/10,TRUE,,FALSE,FALSE,,0.33663366336633666,0.44554455445544555,0.21782178217821782,Roper topline,,,101,FALSE,FALSE,three or more
26,"Now, thinking about Barack Obama's religious beliefs¡¦Do you happen to know what Barack Obama's religion is? Is he Christian, Jewish, Muslim, Buddhist, Hindu, atheist, agnostic, or something else? (If Don't know, probe:) Is that because you've heard of different things about his religion, or because you don't know enough about him?",8,telephone,127,Obama Religion,Princeton Survey Research Associates International,03/09-12/09,TRUE,,FALSE,FALSE,,0.47880299251870323,0.39900249376558605,0.12219451371571072,Roper topline,,,100.25,FALSE,FALSE,three or more
27,"Now, thinking about Barack Obama's religious beliefs¡¦Do you happen to know what Barack Obama's religion is? Is he Christian, Jewish, Muslim, Buddhist, Hindu, atheist, agnostic, or something else? (If Don't know, probe:) Is that because you've heard of different things about his religion, or because you don't know enough about him?",8,telephone,128,Obama Religion,Princeton Survey Research Associates International,10/16-19/08,TRUE,,FALSE,FALSE,,0.504950495049505,0.3564356435643564,0.13861386138613863,Roper topline,,,101,FALSE,FALSE,three or more
29,"Now, thinking about Barack Obama's religious beliefs¡¦Do you happen to know what Barack Obama's religion is? Is he Christian, Jewish, Muslim, Buddhist, Hindu, atheist, agnostic, or something else? (If Don't know, probe:) Is that because you've heard of different things about his religion, or because you don't know enough about him?",8,telephone,129,Obama Religion,Princeton Survey Research Associates International,09/09-14/08,TRUE,,FALSE,FALSE,,0.4752475247524752,0.3465346534653465,0.1782178217821782,Roper topline,,,101,FALSE,FALSE,three or more
38,"Now, thinking about Barack Obama's religious beliefs¡¦Do you happen to know what Barack Obama's religion is? Is he Christian, Jewish, Muslim, Buddhist, Hindu, atheist, agnostic, or something else? (If Don't know, probe:) Is that because you've heard of different things about his religion, or because you don't know enough about him?",8,telephone,130,Obama Religion,Princeton Survey Research Associates International,03/19-22/08,TRUE,,FALSE,FALSE,,0.4641975308641975,0.3950617283950617,0.14074074074074075,Roper topline,,,101.25,FALSE,FALSE,three or more
33,"Now, thinking about Barack Obama's religious beliefs¡¦Do you happen to know what Barack Obama's religion is? Is he Christian, Jewish, Muslim, Buddhist, Hindu, atheist, agnostic, or something else? (If Don't know, probe:) Is that because you've heard of different things about his religion, or because you don't know enough about him?",8,telephone,131,Obama Religion,Princeton Survey Research Associates International,06/18-29/08,TRUE,,FALSE,FALSE,,0.5643564356435643,0.27722772277227725,0.15841584158415842,Roper topline,,,101,FALSE,FALSE,three or more
